benchmark,methods,run-,time_for_init_pop,time_for_ga_process,time_for_all_process,
X-n655-k131,HSI-Min,2,48.00,999.00,1047.00,
X-n655-k131,HSI-Min,3,48.00,1026.00,1074.00,
X-n655-k131,HSI-Min,4,55.00,1029.00,1084.00,
X-n655-k131,HSI-Min,5,54.00,959.00,1013.00,
X-n655-k131,HSI-Min,6,47.00,1014.00,1061.00,
X-n655-k131,HSI-Min,7,61.00,1111.00,1172.00,
X-n655-k131,HSI-Min,8,55.00,989.00,1044.00,
X-n655-k131,HSI-Min,9,56.00,948.00,1004.00,
X-n655-k131,HSI-Min,10,49.00,980.00,1029.00,
X-n655-k131,HSI-Min,11,55.00,1044.00,1099.00,
X-n655-k131,HSI-Min,12,55.00,972.00,1027.00,
X-n655-k131,HSI-Min,13,49.00,958.00,1007.00,
X-n655-k131,HSI-Min,14,47.00,849.00,896.00,
X-n655-k131,HSI-Min,15,43.00,809.00,852.00,
X-n655-k131,HSI-Min,16,42.00,753.00,795.00,
X-n655-k131,HSI-Min,17,40.00,729.00,769.00,
X-n655-k131,HSI-Min,18,39.00,725.00,764.00,
X-n655-k131,HSI-Min,19,37.00,753.00,790.00,
X-n655-k131,HSI-Min,20,40.00,754.00,794.00,
X-n801-k40,HSI-Min,1,28.00,827.00,855.00,
X-n801-k40,HSI-Min,2,21.00,834.00,855.00,
X-n801-k40,HSI-Min,3,24.00,866.00,890.00,
X-n801-k40,HSI-Min,4,26.00,889.00,915.00,
X-n801-k40,HSI-Min,5,24.00,878.00,902.00,
X-n801-k40,HSI-Min,6,22.00,803.00,825.00,
X-n801-k40,HSI-Min,7,23.00,840.00,863.00,
X-n801-k40,HSI-Min,8,24.00,882.00,906.00,
X-n801-k40,HSI-Min,9,23.00,874.00,897.00,
X-n801-k40,HSI-Min,10,24.00,870.00,894.00,
X-n801-k40,HSI-Min,11,23.00,796.00,819.00,
X-n801-k40,HSI-Min,12,22.00,856.00,878.00,
X-n801-k40,HSI-Min,13,24.00,890.00,914.00,
X-n801-k40,HSI-Min,14,24.00,879.00,903.00,
X-n801-k40,HSI-Min,15,24.00,791.00,815.00,
X-n801-k40,HSI-Min,16,20.00,724.00,744.00,
X-n801-k40,HSI-Min,17,20.00,726.00,746.00,
X-n801-k40,HSI-Min,18,18.00,675.00,693.00,
X-n801-k40,HSI-Min,19,18.00,665.00,683.00,
X-n801-k40,HSI-Min,20,17.00,629.00,646.00,
X-n876-k59,HSI-Min,1,44.00,627.00,671.00,
X-n876-k59,HSI-Min,2,41.00,623.00,664.00,
X-n876-k59,HSI-Min,3,42.00,620.00,662.00,
X-n876-k59,HSI-Min,4,41.00,605.00,646.00,
X-n876-k59,HSI-Min,5,40.00,609.00,649.00,
X-n876-k59,HSI-Min,6,39.00,631.00,670.00,
X-n876-k59,HSI-Min,7,43.00,654.00,697.00,
X-n876-k59,HSI-Min,8,44.00,655.00,699.00,
X-n876-k59,HSI-Min,9,42.00,636.00,678.00,
X-n876-k59,HSI-Min,10,44.00,654.00,698.00,
X-n876-k59,HSI-Min,11,43.00,655.00,698.00,
X-n876-k59,HSI-Min,12,43.00,805.00,848.00,
X-n876-k59,HSI-Min,13,44.00,651.00,695.00,
X-n876-k59,HSI-Min,14,41.00,625.00,666.00,
X-n876-k59,HSI-Min,15,41.00,624.00,665.00,
X-n876-k59,HSI-Min,16,42.00,632.00,674.00,
X-n876-k59,HSI-Min,17,41.00,644.00,685.00,
X-n876-k59,HSI-Min,18,43.00,659.00,702.00,
X-n876-k59,HSI-Min,19,43.00,667.00,710.00,
X-n876-k59,HSI-Min,20,45.00,651.00,696.00,
X-n957-k87,HSI-Min,1,42.00,731.00,773.00,
X-n957-k87,HSI-Min,2,37.00,748.00,785.00,
X-n957-k87,HSI-Min,3,37.00,764.00,801.00,
X-n957-k87,HSI-Min,4,37.00,734.00,771.00,
X-n957-k87,HSI-Min,5,38.00,739.00,777.00,
X-n957-k87,HSI-Min,6,35.00,712.00,747.00,
X-n957-k87,HSI-Min,7,35.00,726.00,761.00,
X-n957-k87,HSI-Min,8,36.00,704.00,740.00,
X-n957-k87,HSI-Min,9,35.00,706.00,741.00,
X-n957-k87,HSI-Min,10,35.00,731.00,766.00,
X-n957-k87,HSI-Min,11,35.00,716.00,751.00,
X-n957-k87,HSI-Min,12,35.00,706.00,741.00,
X-n957-k87,HSI-Min,13,35.00,714.00,749.00,
X-n957-k87,HSI-Min,14,36.00,719.00,755.00,
X-n957-k87,HSI-Min,15,36.00,713.00,749.00,
X-n957-k87,HSI-Min,16,35.00,698.00,733.00,
X-n957-k87,HSI-Min,17,35.00,711.00,746.00,
X-n957-k87,HSI-Min,18,35.00,701.00,736.00,
X-n957-k87,HSI-Min,19,34.00,702.00,736.00,
X-n957-k87,HSI-Min,20,36.00,698.00,734.00,
X-n1001-k43,HSI-Min,1,55.00,1058.00,1113.00,
X-n1001-k43,HSI-Min,2,50.00,1064.00,1114.00,
X-n1001-k43,HSI-Min,3,53.00,1041.00,1094.00,
X-n1001-k43,HSI-Min,4,47.00,1037.00,1084.00,
X-n1001-k43,HSI-Min,5,46.00,1032.00,1078.00,
X-n1001-k43,HSI-Min,6,46.00,998.00,1044.00,
X-n1001-k43,HSI-Min,7,46.00,934.00,980.00,
X-n1001-k43,HSI-Min,8,41.00,942.00,983.00,
X-n1001-k43,HSI-Min,9,40.00,891.00,931.00,
X-n1001-k43,HSI-Min,10,40.00,891.00,931.00,
X-n1001-k43,HSI-Min,11,40.00,903.00,943.00,
X-n1001-k43,HSI-Min,12,42.00,842.00,884.00,
X-n1001-k43,HSI-Min,13,38.00,768.00,806.00,
X-n1001-k43,HSI-Min,14,35.00,723.00,758.00,
X-n1001-k43,HSI-Min,15,33.00,708.00,741.00,
X-n1001-k43,HSI-Min,16,32.00,734.00,766.00,
X-n1001-k43,HSI-Min,17,34.00,714.00,748.00,
X-n1001-k43,HSI-Min,18,32.00,709.00,741.00,
X-n1001-k43,HSI-Min,19,32.00,674.00,706.00,
X-n1001-k43,HSI-Min,20,29.00,684.00,713.00,
